wave,flux,error,f
3729,2831.6,131.34,7
3730,2837.9,131.7,7
3731,2846.9,132.19,7
3732,2853.2,132.56,7
3733,2857,132.8,7
3734,2860.7,133.05,7
3735,2861.8,133.17,7
3736,2852.4,132.8,7
3737,2837.8,132.19,7
3738,2825.8,131.7,7
3739,2811.3,131.1,7
3740,2802.1,130.74,7
3741,2800.6,130.74,7
3742,2799.1,130.74,7
3743,2792.4,130.5,7
3744,2790.9,130.5,7
3745,2789.4,130.5,7
3746,2788,130.5,7
3747,2786.5,130.5,7
3748,2785,130.5,7
3749,2778.4,130.26,7
3750,2776.9,130.26,7
3751,2775.4,130.26,7
3752,2766.3,129.9,7
3753,2759.7,129.66,7
3754,2753.2,129.42,7
3755,2744.1,129.06,7
3756,2737.6,128.83,7
3757,2731.1,128.59,7
3758,2727.1,128.47,7
3759,2725.7,128.47,7
3760,2724.2,128.47,7
3761,2725.3,128.59,7
3762,2723.8,128.59,7
3763,2727.4,128.83,7
3764,2726,128.83,7
3765,2724.5,128.83,7
3766,2723.1,128.83,7
3767,2716.6,128.59,7
3768,2715.2,128.59,7
3769,2713.7,128.59,7
3770,2709.8,128.47,7
3771,2708.4,128.47,7
3772,2706.9,128.47,7
3773,2708,128.59,7
3774,2706.6,128.59,7
3775,2705.1,128.59,7
3776,2703.7,128.59,7
3777,2694.8,128.23,7
3778,2683.5,127.76,7
3779,2674.7,127.41,7
3780,2660.9,126.82,7
3781,2654.7,126.59,7
3782,2648.4,126.36,7
3783,2647,126.36,7
3784,2645.6,126.36,7
3785,2649,126.59,7
3786,2642.8,126.36,7
3787,2641.4,126.36,7
3788,2635.1,126.12,7
3789,2631.3,126.01,7
3790,2625.1,125.78,7
3791,2623.7,125.78,7
3792,2617.5,125.55,7
3793,2608.9,125.2,7
3794,2607.5,125.2,7
3795,2606.1,125.2,7
3796,2607.2,125.31,7
3797,2610.6,125.55,7
3798,2614,125.78,7
3799,2617.5,126.01,7
3800,2616.1,126.01,7
3801,2621.9,126.36,7
3802,2620.6,126.36,7
3803,2624,126.59,7
3804,2627.5,126.82,7
3805,2626.1,126.82,7
3806,2624.7,126.82,7
3807,2623.3,126.82,7
3808,2622,126.82,7
3809,2620.6,126.82,7
3810,2621.6,126.94,7
3811,2625.1,127.17,7
3812,2633.4,127.64,7
3813,2639.3,128,7
3814,2637.9,128,7
3815,2636.5,128,7
3816,2630.3,127.76,7
3817,2621.7,127.41,7
3818,2620.3,127.41,7
3819,2614.1,127.17,7
3820,2607.9,126.94,7
3821,2606.6,126.94,7
3822,2602.8,126.82,7
3823,2601.4,126.82,7
3824,2600.1,126.82,7
3825,2593.9,126.59,7
3826,2592.6,126.59,7
3827,2586.4,126.36,7
3828,2580.3,126.12,7
3829,2579,126.12,7
3830,2577.6,126.12,7
3831,2576.3,126.12,7
3832,2579.7,126.36,7
3833,2578.3,126.36,7
3834,2577,126.36,7
3835,2580.4,126.59,7
3836,2579.1,126.59,7
3837,2582.5,126.82,7
3838,2588.3,127.17,7
3839,2591.7,127.41,7
3840,2590.3,127.41,7
3841,2593.8,127.64,7
3842,2594.8,127.76,7
3843,2593.5,127.76,7
3844,2592.1,127.76,7
3845,2590.8,127.76,7
3846,2589.4,127.76,7
3847,2588.1,127.76,7
3848,2591.5,128,7
3849,2594.9,128.23,7
3850,2593.6,128.23,7
3851,2597,128.47,7
3852,2595.7,128.47,7
3853,2594.3,128.47,7
3854,2593,128.47,7
3855,2586.9,128.23,7
3856,2585.5,128.23,7
3857,2584.2,128.23,7
3858,2582.8,128.23,7
3859,2576.7,128,7
3860,2575.4,128,7
3861,2569.3,127.76,7
3862,2560.9,127.41,7
3863,2554.9,127.17,7
3864,2553.6,127.17,7
3865,2547.5,126.94,7
3866,2546.2,126.94,7
3867,2544.9,126.94,7
3868,2548.3,127.17,7
3869,2547,127.17,7
3870,2550.3,127.41,7
3871,2549,127.41,7
3872,2547.7,127.41,7
3873,2541.7,127.17,7
3874,2540.4,127.17,7
3875,2539.1,127.17,7
3876,2533.1,126.94,7
3877,2529.5,126.82,7
3878,2523.5,126.59,7
3879,2517.6,126.36,7
3880,2511.6,126.12,7
3881,2510.3,126.12,7
3882,2506.7,126.01,7
3883,2505.4,126.01,7
3884,2499.6,125.78,7
3885,2493.7,125.55,7
3886,2485.5,125.2,7
3887,2479.7,124.97,7
3888,2478.4,124.97,7
3889,2477.1,124.97,7
3890,2480.4,125.2,7
3891,2486,125.55,7
3892,2489.3,125.78,7
3893,2492.6,126.01,7
3894,2491.3,126.01,7
3895,2490,126.01,7
3896,2491,126.12,7
3897,2494.4,126.36,7
3898,2497.7,126.59,7
3899,2496.4,126.59,7
3900,2499.7,126.82,7
3901,2489.2,126.36,7
3902,2488,126.36,7
3903,2486.7,126.36,7
3904,2485.4,126.36,7
3905,2484.2,126.36,7
3906,2482.9,126.36,7
3907,2477,126.12,7
3908,2475.8,126.12,7
3909,2474.5,126.12,7
3910,2473.2,126.12,7
3911,2472,126.12,7
3912,2470.7,126.12,7
3913,2469.5,126.12,7
3914,2472.7,126.36,7
3915,2471.5,126.36,7
3916,2470.2,126.36,7
3917,2469,126.36,7
3918,2467.7,126.36,7
3919,2461.9,126.12,7
3920,2460.6,126.12,7
3921,2459.4,126.12,7
3922,2455.9,126.01,7
3923,2454.6,126.01,7
3924,2448.9,125.78,7
3925,2447.6,125.78,7
3926,2441.9,125.55,7
3927,2436.1,125.31,7
3928,2432.6,125.2,7
3929,2426.9,124.97,7
3930,2425.7,124.97,7
3931,2424.5,124.97,7
3932,2418.8,124.74,7
3933,2417.5,124.74,7
3934,2420.8,124.97,7
3935,2419.5,124.97,7
3936,2418.3,124.97,7
3937,2412.6,124.74,7
3938,2411.4,124.74,7
3939,2410.2,124.74,7
3940,2406.7,124.62,7
3941,2401.1,124.39,7
3942,2395.5,124.17,7
3943,2389.8,123.94,7
3944,2386.4,123.82,7
3945,2380.8,123.59,7
3946,2375.2,123.37,7
3947,2367.5,123.03,7
3948,2357.6,122.57,7
3949,2349.9,122.24,7
3950,2340.1,121.79,7
3951,2332.4,121.45,7
3952,2326.9,121.23,7
3953,2319.4,120.89,7
3954,2309.7,120.45,7
3955,2304.2,120.23,7
3956,2296.7,119.89,7
3957,2291.3,119.67,7
3958,2283.9,119.34,7
3959,2274.3,118.9,7
3960,2266.9,118.58,7
3961,2257.4,118.14,7
3962,2250,117.81,7
3963,2240.6,117.38,7
3964,2233.3,117.06,7
3965,2228.1,116.84,7
3966,2220.8,116.52,7
3967,2215.6,116.31,7
3968,2210.4,116.09,7
3969,2209.3,116.09,7
3970,2204.1,115.88,7
3971,2201,115.77,7
3972,2199.9,115.77,7
3973,2194.7,115.56,7
3974,2193.6,115.56,7
3975,2192.5,115.56,7
3976,2195.5,115.77,7
3977,2194.4,115.77,7
3978,2199.3,116.09,7
3979,2198.2,116.09,7
3980,2201.2,116.31,7
3981,2204.1,116.52,7
3982,2203,116.52,7
3983,2208,116.84,7
3984,2211,117.06,7
3985,2216,117.38,7
3986,2218.9,117.6,7
3987,2228.1,118.14,7
3988,2231,118.36,7
3989,2240.2,118.9,7
3990,2247.4,119.34,7
3991,2252.5,119.67,7
3992,2261.7,120.23,7
3993,2264.8,120.45,7
3994,2267.8,120.67,7
3995,2272.9,121,7
3996,2276,121.23,7
3997,2279,121.45,7
3998,2277.9,121.45,7
3999,2283.1,121.79,7
4000,2281.9,121.79,7
4001,2280.8,121.79,7
4002,2279.6,121.79,7
4003,2282.7,122.01,7
4004,2281.6,122.01,7
4005,2280.4,122.01,7
4006,2279.3,122.01,7
4007,2278.1,122.01,7
4008,2277,122.01,7
4009,2275.9,122.01,7
4010,2274.7,122.01,7
4011,2269.4,121.79,7
4012,2268.3,121.79,7
4013,2267.2,121.79,7
4014,2266,121.79,7
4015,2264.9,121.79,7
4016,2263.8,121.79,7
4017,2262.6,121.79,7
4018,2261.5,121.79,7
4019,2260.4,121.79,7
4020,2259.3,121.79,7
4021,2262.3,122.01,7
4022,2261.2,122.01,7
4023,2260.1,122.01,7
4024,2263.1,122.24,7
4025,2262,122.24,7
4026,2260.9,122.24,7
4027,2261.8,122.35,7
4028,2260.7,122.35,7
4029,2263.7,122.57,7
4030,2262.6,122.57,7
4031,2261.5,122.57,7
4032,2260.4,122.57,7
4033,2255.1,122.35,7
4034,2251.9,122.24,7
4035,2250.8,122.24,7
4036,2249.7,122.24,7
4037,2244.4,122.01,7
4038,2243.3,122.01,7
4039,2242.2,122.01,7
4040,2241.1,122.01,7
4041,2240,122.01,7
4042,2238.9,122.01,7
4043,2237.8,122.01,7
4044,2236.6,122.01,7
4045,2235.5,122.01,7
4046,2230.3,121.79,7
4047,2229.2,121.79,7
4048,2226.1,121.67,7
4049,2220.9,121.45,7
4050,2219.8,121.45,7
4051,2218.7,121.45,7
4052,2213.5,121.23,7
4053,2208.3,121,7
4054,2207.3,121,7
4055,2206.2,121,7
4056,2203,120.89,7
4057,2202,120.89,7
4058,2200.9,120.89,7
4059,2199.8,120.89,7
4060,2198.7,120.89,7
4061,2197.6,120.89,7
4062,2192.5,120.67,7
4063,2187.4,120.45,7
4064,2186.3,120.45,7
4065,2181.2,120.23,7
4066,2178.1,120.12,7
4067,2173.1,119.89,7
4068,2168,119.67,7
4069,2166.9,119.67,7
4070,2161.9,119.45,7
4071,2158.8,119.34,7
4072,2153.8,119.12,7
4073,2148.8,118.9,7
4074,2143.8,118.69,7
4075,2140.7,118.58,7
4076,2131.8,118.14,7
4077,2124.9,117.81,7
4078,2116,117.38,7
4079,2109.2,117.06,7
4080,2100.4,116.63,7
4081,2093.6,116.31,7
4082,2082.9,115.77,7
4083,2074.2,115.34,7
4084,2067.5,115.03,7
4085,2058.9,114.6,7
4086,2048.4,114.08,7
4087,2038,113.55,7
4088,2027.7,113.03,7
4089,2019.2,112.62,7
4090,2012.7,112.31,7
4091,2004.3,111.89,7
4092,1994.1,111.38,7
4093,1984,110.87,7
4094,1975.7,110.46,7
4095,1965.7,109.95,7
4096,1955.7,109.45,7
4097,1945.8,108.94,7
4098,1937.7,108.54,7
4099,1927.8,108.04,7
4100,1923.3,107.85,7
4101,1917.1,107.55,7
4102,1912.6,107.35,7
4103,1911.7,107.35,7
4104,1910.8,107.35,7
4105,1913.3,107.55,7
4106,1915.9,107.75,7
4107,1916.8,107.85,7
4108,1922.9,108.24,7
4109,1927.3,108.54,7
4110,1929.9,108.74,7
4111,1932.5,108.94,7
4112,1936.9,109.24,7
4113,1943.1,109.65,7
4114,1947.6,109.95,7
4115,1955.6,110.46,7
4116,1961.9,110.87,7
4117,1966.3,111.17,7
4118,1969,111.38,7
4119,1971.7,111.58,7
4120,1976.2,111.89,7
4121,1978.9,112.1,7
4122,1983.4,112.41,7
4123,1986.1,112.62,7
4124,1988.8,112.82,7
4125,1991.5,113.03,7
4126,1992.3,113.14,7
4127,1995,113.34,7
4128,1997.8,113.55,7
4129,2000.5,113.76,7
4130,2001.3,113.87,7
4131,2000.4,113.87,7
4132,2003.1,114.08,7
4133,2002.1,114.08,7
4134,2004.8,114.29,7
4135,2003.9,114.29,7
4136,2006.6,114.5,7
4137,2005.6,114.5,7
4138,2006.5,114.6,7
4139,2005.5,114.6,7
4140,2008.3,114.82,7
4141,2007.3,114.82,7
4142,2010,115.03,7
4143,2009.1,115.03,7
4144,2008.1,115.03,7
4145,2007.1,115.03,7
4146,2006.1,115.03,7
4147,2005.2,115.03,7
4148,2004.2,115.03,7
4149,2003.2,115.03,7
4150,2002.3,115.03,7
4151,2001.3,115.03,7
4152,2000.4,115.03,7
4153,1999.4,115.03,7
4154,1998.4,115.03,7
4155,1997.5,115.03,7
4156,1996.5,115.03,7
4157,1995.5,115.03,7
4158,1994.6,115.03,7
4159,1993.6,115.03,7
4160,1992.7,115.03,7
4161,1991.7,115.03,7
4162,1987.1,114.82,7
4163,1986.1,114.82,7
4164,1988.8,115.03,7
4165,1987.9,115.03,7
4166,1986.9,115.03,7
4167,1987.8,115.13,7
4168,1990.5,115.34,7
4169,1989.6,115.34,7
4170,1992.3,115.56,7
4171,1991.3,115.56,7
4172,1990.4,115.56,7
4173,1989.4,115.56,7
4174,1988.5,115.56,7
4175,1991.2,115.77,7
4176,1990.2,115.77,7
4177,1989.3,115.77,7
4178,1988.3,115.77,7
4179,1987.4,115.77,7
4180,1986.4,115.77,7
4181,1985.5,115.77,7
4182,1984.5,115.77,7
4183,1983.6,115.77,7
4184,1982.6,115.77,7
4185,1981.7,115.77,7
4186,1980.7,115.77,7
4187,1979.8,115.77,7
4188,1978.8,115.77,7
4189,1977.9,115.77,7
4190,1973.3,115.56,7
4191,1972.4,115.56,7
4192,1971.4,115.56,7
4193,1970.5,115.56,7
4194,1969.5,115.56,7
4195,1968.6,115.56,7
4196,1971.3,115.77,7
4197,1966.7,115.56,7
4198,1965.8,115.56,7
4199,1964.8,115.56,7
4200,1960.3,115.34,7
4201,1954,115.03,7
4202,1953,115.03,7
4203,1948.5,114.82,7
4204,1947.6,114.82,7
4205,1943.1,114.6,7
4206,1942.1,114.6,7
4207,1941.2,114.6,7
4208,1940.3,114.6,7
4209,1939.4,114.6,7
4210,1938.5,114.6,7
4211,1941.1,114.82,7
