wave,flux,error,f
3812,4903.6,237.68,7
3813,4901,237.68,7
3814,4898.5,237.68,7
3815,4895.9,237.68,7
3816,4884.3,237.25,7
3817,4868.3,236.59,7
3818,4856.8,236.16,7
3819,4840.8,235.5,7
3820,4829.4,235.07,7
3821,4818,234.64,7
3822,4806.6,234.21,7
3823,4790.8,233.56,7
3824,4779.5,233.13,7
3825,4755.1,232.06,7
3826,4730.8,230.99,7
3827,4710.9,230.14,7
3828,4695.4,229.51,7
3829,4684.4,229.09,7
3830,4681.9,229.09,7
3831,4670.9,228.66,7
3832,4668.4,228.66,7
3833,4661.7,228.45,7
3834,4650.7,228.03,7
3835,4648.3,228.03,7
3836,4654.4,228.45,7
3837,4664.8,229.09,7
3838,4671,229.51,7
3839,4690.1,230.57,7
3840,4700.7,231.21,7
3841,4715.6,232.06,7
3842,4721.8,232.49,7
3843,4732.4,233.13,7
3844,4747.4,233.99,7
3845,4758,234.64,7
3846,4773.1,235.5,7
3847,4783.8,236.16,7
3848,4803.4,237.25,7
3849,4818.6,238.12,7
3850,4829.5,238.78,7
3851,4827,238.78,7
3852,4833.3,239.22,7
3853,4830.8,239.22,7
3854,4828.3,239.22,7
3855,4825.8,239.22,7
3856,4836.7,239.88,7
3857,4843.1,240.33,7
3858,4849.5,240.77,7
3859,4838.1,240.33,7
3860,4835.6,240.33,7
3861,4819.7,239.66,7
3862,4799.5,238.78,7
3863,4797,238.78,7
3864,4781.3,238.12,7
3865,4778.8,238.12,7
3866,4767.6,237.68,7
3867,4765.1,237.68,7
3868,4762.6,237.68,7
3869,4769,238.12,7
3870,4766.5,238.12,7
3871,4755.3,237.68,7
3872,4744.1,237.25,7
3873,4728.5,236.59,7
3874,4717.4,236.16,7
3875,4693.3,235.07,7
3876,4673.6,234.21,7
3877,4649.7,233.13,7
3878,4617.5,231.63,7
3879,4593.9,230.57,7
3880,4562,229.09,7
3881,4538.7,228.03,7
3882,4507.2,226.57,7
3883,4476,225.11,7
3884,4453.1,224.08,7
3885,4422.2,222.64,7
3886,4403.7,221.82,7
3887,4389.2,221.21,7
3888,4378.9,220.8,7
3889,4384.7,221.21,7
3890,4390.6,221.61,7
3891,4400.5,222.23,7
3892,4418.5,223.25,7
3893,4432.5,224.08,7
3894,4458.9,225.53,7
3895,4477.2,226.57,7
3896,4503.8,228.03,7
3897,4522.3,229.09,7
3898,4540.8,230.14,7
3899,4559.5,231.21,7
3900,4574,232.06,7
3901,4592.7,233.13,7
3902,4611.5,234.21,7
3903,4626.2,235.07,7
3904,4632.3,235.5,7
3905,4634.2,235.72,7
3906,4640.4,236.16,7
3907,4646.6,236.59,7
3908,4644.2,236.59,7
3909,4646.1,236.81,7
3910,4652.3,237.25,7
3911,4649.9,237.25,7
3912,4656.1,237.68,7
3913,4662.3,238.12,7
3914,4659.9,238.12,7
3915,4657.6,238.12,7
3916,4655.2,238.12,7
3917,4652.8,238.12,7
3918,4641.9,237.68,7
3919,4639.5,237.68,7
3920,4628.6,237.25,7
3921,4626.2,237.25,7
3922,4615.3,236.81,7
3923,4608.7,236.59,7
3924,4597.9,236.16,7
3925,4587.1,235.72,7
3926,4580.6,235.5,7
3927,4569.8,235.07,7
3928,4550.7,234.21,7
3929,4535.8,233.56,7
3930,4533.5,233.56,7
3931,4522.9,233.13,7
3932,4520.6,233.13,7
3933,4518.3,233.13,7
3934,4524.3,233.56,7
3935,4522,233.56,7
3936,4519.7,233.56,7
3937,4517.4,233.56,7
3938,4515.1,233.56,7
3939,4521.1,233.99,7
3940,4518.9,233.99,7
3941,4516.6,233.99,7
3942,4506,233.56,7
3943,4503.7,233.56,7
3944,4493.1,233.13,7
3945,4490.8,233.13,7
3946,4488.6,233.13,7
3947,4486.3,233.13,7
3948,4484,233.13,7
3949,4469.4,232.49,7
3950,4458.9,232.06,7
3951,4407.6,229.51,7
3952,4389.2,228.66,7
3953,4374.9,228.03,7
3954,4344.6,226.57,7
3955,4322.4,225.53,7
3956,4296.4,224.28,7
3957,4274.5,223.25,7
3958,4252.7,222.23,7
3959,4231.1,221.21,7
3960,4201.7,219.79,7
3961,4172.6,218.37,7
3962,4124.7,215.97,7
3963,4081.1,213.8,7
3964,4041.6,211.84,7
3965,4006.2,210.09,7
3966,3974.8,208.55,7
3967,3947.3,207.21,7
3968,3923.5,206.06,7
3969,3910.7,205.49,7
3970,3901.6,205.12,7
3971,3899.6,205.12,7
3972,3897.6,205.12,7
3973,3910.1,205.87,7
3974,3926.1,206.82,7
3975,3949.5,208.16,7
3976,3973.1,209.51,7
3977,3996.8,210.86,7
3978,4020.6,212.23,7
3979,4037.1,213.21,7
3980,4061.2,214.58,7
3981,4077.9,215.58,7
3982,4094.7,216.57,7
3983,4111.5,217.57,7
3984,4132.2,218.78,7
3985,4149.2,219.79,7
3986,4166.3,220.8,7
3987,4183.4,221.82,7
3988,4196.7,222.64,7
3989,4206.2,223.25,7
3990,4219.6,224.08,7
3991,4229.2,224.7,7
3992,4242.7,225.53,7
3993,4252.3,226.15,7
3994,4258,226.57,7
3995,4263.7,226.99,7
3996,4265.5,227.2,7
3997,4263.4,227.2,7
3998,4261.2,227.2,7
3999,4259.1,227.2,7
4000,4257,227.2,7
4001,4254.8,227.2,7
4002,4248.8,226.99,7
4003,4246.7,226.99,7
4004,4244.5,226.99,7
4005,4242.4,226.99,7
4006,4232.5,226.57,7
4007,4222.6,226.15,7
4008,4220.5,226.15,7
4009,4210.6,225.74,7
4010,4204.7,225.53,7
4011,4194.8,225.11,7
4012,4185,224.7,7
4013,4182.9,224.7,7
4014,4180.8,224.7,7
4015,4171.1,224.28,7
4016,4165.2,224.08,7
4017,4163.1,224.08,7
4018,4161,224.08,7
4019,4158.9,224.08,7
4020,4156.9,224.08,7
4021,4154.8,224.08,7
4022,4152.7,224.08,7
4023,4150.7,224.08,7
4024,4141,223.67,7
4025,4138.9,223.67,7
4026,4136.9,223.67,7
4027,4142.4,224.08,7
4028,4140.4,224.08,7
4029,4138.3,224.08,7
4030,4136.3,224.08,7
4031,4126.6,223.67,7
4032,4124.6,223.67,7
4033,4115,223.25,7
4034,4112.9,223.25,7
4035,4110.9,223.25,7
4036,4101.3,222.84,7
4037,4099.2,222.84,7
4038,4093.4,222.64,7
4039,4091.4,222.64,7
4040,4089.4,222.64,7
4041,4079.8,222.23,7
4042,4077.8,222.23,7
4043,4075.8,222.23,7
4044,4073.8,222.23,7
4045,4079.3,222.64,7
4046,4077.3,222.64,7
4047,4067.7,222.23,7
4048,4065.7,222.23,7
4049,4063.7,222.23,7
4050,4061.7,222.23,7
4051,4052.2,221.82,7
4052,4050.2,221.82,7
4053,4048.2,221.82,7
4054,4042.5,221.61,7
4055,4033.1,221.21,7
4056,4031.1,221.21,7
4057,4029.1,221.21,7
4058,4027.1,221.21,7
4059,4025.2,221.21,7
4060,4030.6,221.61,7
4061,4028.6,221.61,7
4062,4030.3,221.82,7
4063,4028.3,221.82,7
4064,4026.4,221.82,7
4065,4020.7,221.61,7
4066,4011.3,221.21,7
4067,4009.3,221.21,7
4068,4000,220.8,7
4069,3998,220.8,7
4070,3988.7,220.39,7
4071,3986.8,220.39,7
4072,3984.8,220.39,7
4073,3979.2,220.19,7
4074,3969.9,219.79,7
4075,3967.9,219.79,7
4076,3958.7,219.38,7
4077,3949.5,218.98,7
4078,3943.9,218.78,7
4079,3927.5,217.97,7
4080,3918.3,217.57,7
4081,3905.6,216.97,7
4082,3892.9,216.37,7
4083,3876.7,215.58,7
4084,3857,214.58,7
4085,3837.4,213.6,7
4086,3810.9,212.23,7
4087,3788,211.06,7
4088,3765.3,209.89,7
4089,3739.3,208.55,7
4090,3706.6,206.82,7
4091,3681,205.49,7
4092,3648.8,203.8,7
4093,3613.6,201.93,7
4094,3572.1,199.71,7
4095,3534.4,197.7,7
4096,3493.8,195.52,7
4097,3460.1,193.73,7
4098,3429.9,192.13,7
4099,3406.2,190.9,7
4100,3382.6,189.67,7
4101,3371.6,189.15,7
4102,3363.8,188.8,7
4103,3371.5,189.32,7
4104,3382.2,190.02,7
4105,3411.9,191.78,7
4106,3438.6,193.37,7
4107,3475.1,195.52,7
4108,3508.8,197.51,7
4109,3539.6,199.34,7
4110,3567.3,201,7
4111,3598.5,202.86,7
4112,3620,204.17,7
4113,3648.4,205.87,7
4114,3670.2,207.21,7
4115,3692.2,208.55,7
4116,3707.4,209.51,7
4117,3722.7,210.47,7
4118,3727.8,210.86,7
4119,3736.3,211.45,7
4120,3741.3,211.84,7
4121,3746.4,212.23,7
